GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GitHub API for Java,org.kohsuke.github,GHEventPayload.PullRequest,5,31,1,3,1,11,1,7,0,6
GitHub API for Java,org.kohsuke.github,GHRepositoryStatistics.ContributorStats.Week,0,44,0,0,0,6,0,6,0,6
GitHub API for Java,org.kohsuke.github,RateLimitChecker,4,52,1,1,2,12,2,3,1,3
GitHub API for Java,org.kohsuke.github,GHEvent,0,634,0,2,0,66,0,3,0,2
GitHub API for Java,org.kohsuke.github,GHDiscussion.Setter,0,17,0,0,0,3,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHEventInfo,17,136,3,1,1,29,3,11,1,11
GitHub API for Java,org.kohsuke.github,GHLabelChanges,0,9,0,0,0,3,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHAppInstallation,21,163,0,0,3,33,2,26,2,26
GitHub API for Java,org.kohsuke.github,GHWorkflowRun.HeadCommit,0,22,0,0,0,7,0,7,0,7
GitHub API for Java,org.kohsuke.github,GHRepositoryCloneTraffic,0,20,0,0,0,7,0,4,0,4
GitHub API for Java,org.kohsuke.github,GHAppInstallationsPage,3,6,0,0,1,2,1,2,1,2
GitHub API for Java,org.kohsuke.github,SearchResult,0,3,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHBranchProtectionBuilder.StatusChecks,0,8,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,RateLimitChecker.LiteralValue,5,19,1,3,1,7,1,3,0,2
GitHub API for Java,org.kohsuke.github,GHCheckRun.Status,0,55,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHObject.new ToStringStyle() {...},2,24,2,4,2,9,2,3,0,2
GitHub API for Java,org.kohsuke.github,GHMarketplaceListAccountBuilder.Sort,0,24,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,HttpConnector,0,17,0,0,0,3,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHEventPayload.Create,0,15,0,0,0,5,0,5,0,5
GitHub API for Java,org.kohsuke.github,AbstractBuilder,15,58,4,6,2,16,3,6,0,4
GitHub API for Java,org.kohsuke.github,GHEventInfo.GHEventRepository,0,3,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHLabel.Updater,0,16,0,0,0,3,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHEventPayload,0,34,0,0,0,11,0,10,0,10
GitHub API for Java,org.kohsuke.github,GHWorkflowRunsIterable,0,32,0,0,0,7,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHRequestedAction,19,0,0,0,7,0,6,0,6,0
GitHub API for Java,org.kohsuke.github,GitHubClient,65,857,10,90,14,189,11,82,2,41
GitHub API for Java,org.kohsuke.github,GHKey,0,36,0,0,0,7,0,7,0,7
GitHub API for Java,org.kohsuke.github,GHCompare.Status,0,44,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHHooks.OrgContext,2,28,0,0,1,6,1,4,1,4
GitHub API for Java,org.kohsuke.github,GitUser,0,16,0,0,0,5,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHEventPayload.InstallationRepositories,15,48,4,6,4,14,4,6,0,5
GitHub API for Java,org.kohsuke.github,GHWorkflowJob.Step,0,25,0,0,0,7,0,7,0,7
GitHub API for Java,org.kohsuke.github,GHRelease,50,185,2,0,10,30,8,22,7,22
GitHub API for Java,org.kohsuke.github,GHIssueQueryBuilder.Sort,0,34,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHCommit.Parent,0,3,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHCommitBuilder,0,120,0,0,0,20,0,9,0,9
GitHub API for Java,org.kohsuke.github,GitHubResponse,4,150,1,7,1,39,2,13,1,10
GitHub API for Java,org.kohsuke.github,GHCheckRunBuilder.Image,0,14,0,0,0,6,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHCommitQueryBuilder,0,96,0,0,0,19,0,11,0,11
GitHub API for Java,org.kohsuke.github,GHBlobBuilder,14,61,0,0,3,10,1,4,1,4
GitHub API for Java,org.kohsuke.github,GHMilestoneState,0,24,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,GitHubBuilder,36,292,2,16,7,78,6,29,4,22
GitHub API for Java,org.kohsuke.github,GHUserSearchBuilder.UserSearchResult,0,3,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHEventPayload.PullRequestReview,5,31,2,2,1,10,2,4,0,4
GitHub API for Java,org.kohsuke.github,GitHub.AuthorizationRefreshGitHubWrapper,11,24,1,1,3,6,1,2,0,2
GitHub API for Java,org.kohsuke.github,GHIssueSearchBuilder.IssueSearchResult,0,20,0,2,0,2,0,2,0,1
GitHub API for Java,org.kohsuke.github,GHFileNotFoundException,7,17,0,0,3,7,2,3,2,3
GitHub API for Java,org.kohsuke.github,GHWorkflowRun.Conclusion,5,100,0,0,1,3,1,2,1,2
GitHub API for Java,org.kohsuke.github,GHRepositoryViewTraffic.DailyInfo,0,11,0,0,0,4,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHIssueQueryBuilder,0,79,0,4,0,18,0,10,0,8
GitHub API for Java,org.kohsuke.github,GHCheckRunBuilder.Annotation,15,34,0,0,6,11,3,3,3,3
GitHub API for Java,org.kohsuke.github,GHPullRequestChanges.GHFrom,0,6,0,0,0,2,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHEventPayload.Issue,5,25,1,1,1,9,2,5,1,5
GitHub API for Java,org.kohsuke.github,GHPullRequestQueryBuilder,16,75,1,3,4,14,3,7,2,6
GitHub API for Java,org.kohsuke.github,GitHubRequest.Entry,0,9,0,0,0,4,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHEventPayload.Label,0,9,0,0,0,3,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHMeta,0,47,0,0,0,12,0,11,0,11
GitHub API for Java,org.kohsuke.github,GHOTPRequiredException,0,3,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHPullRequestCommitDetail.CommitPointer,14,0,0,0,4,0,4,0,4,0
GitHub API for Java,org.kohsuke.github,GHRepository,876,2339,42,54,162,435,90,187,58,171
GitHub API for Java,org.kohsuke.github,GHIssueSearchBuilder.Sort,0,34,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHCommitSearchBuilder.Sort,0,24,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHAppInstallationsIterable.new Iterator() {...},0,30,0,2,0,6,0,4,0,3
GitHub API for Java,org.kohsuke.github,GHHooks.RepoContext,0,39,0,0,0,8,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHRepository.Setter,0,26,0,0,0,4,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHCommentAuthorAssociation,0,74,0,0,0,8,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHWorkflowRun.Status,0,55,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHCheckSuite,7,114,4,10,3,24,6,18,2,15
GitHub API for Java,org.kohsuke.github,GHStargazer,0,17,0,0,0,6,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHApp,0,184,0,0,0,38,0,22,0,22
GitHub API for Java,org.kohsuke.github,GHPullRequest.AutoMerge,0,15,0,0,0,5,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHTeam.Role,0,24,0,0,0,3,0,1,0,1
GitHub API for Java,org.kohsuke.github,AbuseLimitHandler.new AbuseLimitHandler() {...},10,22,1,1,3,7,1,3,0,3
GitHub API for Java,org.kohsuke.github,GHProject,147,119,8,0,29,23,16,12,12,12
GitHub API for Java,org.kohsuke.github,AbuseLimitHandler.new AbuseLimitHandler() {...},0,11,0,0,0,2,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHMembership.State,0,24,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,PagedSearchIterable,11,50,0,2,3,14,2,6,2,5
GitHub API for Java,org.kohsuke.github,GHArtifactsIterable.new Iterator() {...},0,33,1,1,0,6,1,3,0,3
GitHub API for Java,org.kohsuke.github,GHLabelBuilder,0,45,0,2,0,9,0,5,0,4
GitHub API for Java,org.kohsuke.github,RateLimitTarget,0,54,0,0,0,6,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHCommitSearchBuilder.CommitSearchResult,1,33,0,2,1,6,0,2,0,1
GitHub API for Java,org.kohsuke.github,GHWorkflowRunsIterable.new Iterator() {...},0,33,0,2,0,6,0,4,0,3
GitHub API for Java,org.kohsuke.github,GHObject.new ReflectionToStringBuilder() {...},0,24,1,3,0,2,1,3,0,2
GitHub API for Java,org.kohsuke.github,GHContentSearchBuilder.Sort,0,24,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHTargetType,6,24,0,0,1,2,1,1,1,1
GitHub API for Java,org.kohsuke.github,Requester,0,82,0,0,0,13,0,12,0,12
GitHub API for Java,org.kohsuke.github,GHTeamBuilder,0,84,0,0,0,16,0,7,0,7
GitHub API for Java,org.kohsuke.github,GHContentBuilder,0,94,0,0,0,21,0,8,0,8
GitHub API for Java,org.kohsuke.github,GHBranch.Commit,0,3,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHEventPayload.Status,5,44,2,2,1,14,2,9,0,9
